119.27.160.0 - 119.27.191.255	Tencent Cloud Computing (Beijing) Co. Ltd	119.27.186.35	11 Jan 2021, 07:04
2	122.152.192.0 - 122.152.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	122.152.215.194	11 Jan 2021, 06:52
3	118.126.64.0 - 118.126.127.255	Tencent Cloud Computing (Beijing) Co. Ltd	118.126.100.182	11 Jan 2021, 06:25
4	111.229.0.0 - 111.229.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	111.229.67.131	11 Jan 2021, 05:27
5	182.254.128.0 - 182.254.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	182.254.210.174	11 Jan 2021, 04:34
6	106.55.0.0 - 106.55.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	106.55.187.5	11 Jan 2021, 04:24
7	139.155.0.0 - 139.155.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	139.155.106.1	11 Jan 2021, 03:53
8	106.52.0.0 - 106.54.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	106.53.246.47	11 Jan 2021, 02:03
9	203.195.128.0 - 203.195.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	203.195.181.3	11 Jan 2021, 00:20
10	1.12.0.0 - 1.15.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	1.13.166.236	10 Jan 2021, 06:11
11	175.24.0.0 - 175.24.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	175.24.105.38	10 Jan 2021, 02:41
12	49.51.0.0 - 49.51.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	49.51.251.133	10 Jan 2021, 01:58
13	211.159.128.0 - 211.159.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	211.159.141.160	10 Jan 2021, 01:49
14	123.206.0.0 - 123.207.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	123.206.180.15	10 Jan 2021, 01:47
15	58.87.64.0 - 58.87.127.255	Tencent Cloud Computing (Beijing) Co. Ltd	58.87.101.85	10 Jan 2021, 01:44
16	115.159.0.0 - 115.159.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	115.159.214.236	10 Jan 2021, 01:41
17	118.89.0.0 - 118.89.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	118.89.46.210	10 Jan 2021, 01:32
18	139.199.0.0 - 139.199.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	139.199.216.8	10 Jan 2021, 01:24
19	49.232.0.0 - 49.235.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	49.235.24.243	10 Jan 2021, 01:21
20	111.230.0.0 - 111.231.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	111.231.139.191	10 Jan 2021, 00:48
21	140.143.0.0 - 140.143.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	140.143.196.159	10 Jan 2021, 00:18
22	119.28.0.0 - 119.29.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	119.28.40.95	09 Jan 2021, 00:04
23	175.178.0.0 - 175.178.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	175.178.109.78	08 Jan 2021, 12:21
24	119.45.0.0 - 119.45.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	119.45.184.229	07 Jan 2021, 03:29
25	121.4.0.0 - 121.5.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	121.5.184.156	07 Jan 2021, 03:05
26	42.192.0.0 - 42.193.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	42.193.46.81	07 Jan 2021, 02:57
27	139.186.0.0 - 139.186.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	139.186.109.216	07 Jan 2021, 01:04
28	42.194.128.0 - 42.194.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	42.194.178.249	06 Jan 2021, 00:16
29	42.187.128.0 - 42.187.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	42.187.222.76	05 Jan 2021, 19:35
30	114.132.0.0 - 114.132.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	114.132.156.99	03 Jan 2021, 11:26
31	175.27.0.0 - 175.27.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	175.27.104.35	02 Jan 2021, 08:25
32	124.220.0.0 - 124.223.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	124.221.173.184	29 Dec 2020, 19:09
33	103.234.0.0 - 103.234.3.255	Tencent Cloud Computing (Beijing) Co. Ltd	103.234.0.161	03 Dec 2020, 22:43
34	210.73.160.0 - 210.73.191.255	Tencent Cloud Computing (Beijing) Co. Ltd	210.73.166.72	04 Nov 2020, 14:10
35	1.116.0.0 - 1.117.255.255	Tencent Cloud Computing (Beijing) Co. Ltd	1.116.94.100	28 Oct 2020,
